Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Price,City,Payment_Method
1000,2025-11-24,1015,Aarav,Shoes,Fashion,3,3036.73,Hyderabad,UPI
1001,2025-12-13,1095,Divya,Smartphone,Electronics,5,24609.61,Chennai,UPI
1002,2025-04-22,1030,Manoj,Backpack,Accessories,1,1822.05,Pune,Credit Card
1003,2025-08-18,1076,Vikram,T-Shirt,Fashion,1,946.59,Hyderabad,Cash
1004,2025-06-24,1036,Rahul,Keyboard,Electronics,3,1104.53,Pune,UPI
1005,2025-07-03,1045,Keerthi,Mouse,Electronics,1,836.76,Bengaluru,Cash
1006,2025-02-10,1071,Ananya,Jeans,Fashion,5,1938.76,Coimbatore,Credit Card
1007,2025-12-27,1009,Diya,Water Bottle,Accessories,2,474.58,Bengaluru,Credit Card
1008,2025-02-21,1049,Vikram,Notebook,Stationery,3,111.9,Coimbatore,Credit Card
1009,2025-12-10,1035,Karthik,Backpack,Accessories,2,1812.29,Mumbai,Credit Card
1010,2025-08-25,1049,Vikram,Coffee Mug,Home,5,330.37,Coimbatore,UPI
1011,2025-04-28,1005,Sanjay,Study Table,Furniture,3,7762.52,Coimbatore,Credit Card
1012,2025-12-02,1064,Harish,Coffee Mug,Home,4,325,Hyderabad,Credit Card
1013,2025-10-15,1069,Vikram,Shoes,Fashion,5,3154.2,Pune,Debit Card
1014,2025-04-23,1018,Manoj,Notebook,Stationery,1,126.14,Bengaluru,Credit Card
1015,2025-11-18,1021,Kavya,Backpack,Accessories,1,1758.52,Kochi,Debit Card
1016,2025-10-11,1002,Meera,Water Bottle,Accessories,5,472.58,Coimbatore,UPI
1017,2025-05-31,1056,Sneha,Notebook,Stationery,1,130.89,Delhi,Credit Card
1018,2025-09-17,1014,Ananya,Jeans,Fashion,5,1839.23,Hyderabad,Debit Card
1019,2025-03-24,1070,Manoj,Coffee Mug,Home,1,356.93,Kochi,UPI
1020,2025-02-27,1047,Ananya,Keyboard,Electronics,1,1137.81,Bengaluru,UPI
1021,2025-09-06,1009,Divya,T-Shirt,Fashion,2,833.11,Kochi,Credit Card
1022,2025-05-16,1068,Keerthi,Study Table,Furniture,2,9229.15,Mumbai,Debit Card
1023,2025-07-24,1086,Nisha,Notebook,Stationery,5,118.84,Mumbai,Credit Card
1024,2025-02-02,1044,Aarav,Backpack,Accessories,5,1702.84,Mumbai,UPI
1025,2025-02-06,1091,Diya,Keyboard,Electronics,1,1297.3,Coimbatore,UPI
1026,2025-09-21,1031,Vikram,Water Bottle,Accessories,4,424.28,Hyderabad,Cash
1027,2025-05-05,1061,Kavya,Keyboard,Electronics,1,1103.26,Pune,Debit Card
1028,2025-08-05,1053,Rohit,Jeans,Fashion,1,1862.41,Bengaluru,UPI
1029,2025-07-26,1094,Sanjay,T-Shirt,Fashion,1,854.76,Mumbai,Cash
1030,2025-03-13,1055,Sneha,Mouse,Electronics,4,759.97,Bengaluru,Cash
1031,2025-10-09,1013,Diya,Water Bottle,Accessories,5,480.24,Bengaluru,Credit Card
1032,2025-03-27,1053,Aisha,Notebook,Stationery,2,128.75,Chennai,Credit Card
1033,2025-07-14,1001,Harish,Mouse,Electronics,4,765.64,Kochi,Credit Card
1034,2025-04-08,1038,Arjun,Laptop,Electronics,5,57593.11,Chennai,Debit Card
1035,2025-01-30,1007,Akash,Notebook,Stationery,5,130.07,Hyderabad,UPI
1036,2025-09-18,1011,Sneha,Smartphone,Electronics,5,22839.8,Mumbai,Cash
1037,2025-03-03,1073,Priya,Backpack,Accessories,5,1634.31,Bengaluru,Cash
1038,2025-12-03,1075,Akash,Pen Pack,Stationery,3,86.96,Mumbai,Debit Card
1039,2025-05-03,1034,Harish,Headphones,Electronics,3,2478.61,Bengaluru,UPI
1040,2025-08-23,1080,Akash,Smartphone,Electronics,1,25188.17,Delhi,Credit Card
1041,2025-06-28,1009,Priya,Office Chair,Furniture,3,6055.07,Delhi,UPI
1042,2025-12-08,1071,Ananya,Coffee Mug,Home,1,380.73,Hyderabad,Debit Card
1043,2025-03-01,1014,Divya,Headphones,Electronics,3,2390.88,Mumbai,Debit Card
1044,2025-04-15,1088,Vikram,Pen Pack,Stationery,4,76.02,Chennai,UPI
1045,2025-11-21,1055,Vikram,Laptop,Electronics,1,53169.12,Hyderabad,Debit Card
1046,2025-03-24,1095,Rohit,Pen Pack,Stationery,4,80.97,Bengaluru,UPI
1047,2025-12-20,1020,Divya,Laptop,Electronics,3,55907.61,Hyderabad,Cash
1048,2025-03-07,1006,Ananya,Office Chair,Furniture,1,7018.6,Mumbai,Credit Card
1049,2025-12-08,1014,Nisha,T-Shirt,Fashion,5,969.14,Pune,Credit Card
1050,2025-05-02,1021,Sneha,Coffee Mug,Home,4,316.74,Coimbatore,Cash
1051,2025-12-09,1095,Priya,Mouse,Electronics,2,845.98,Bengaluru,Cash
1052,2025-01-20,1061,Priya,Keyboard,Electronics,4,1163.92,Mumbai,Credit Card
1053,2025-01-13,1085,Arjun,Study Table,Furniture,3,8123.63,Bengaluru,Debit Card
1054,2025-06-29,1083,Manoj,Study Table,Furniture,5,8212.95,Chennai,UPI
1055,2025-05-14,1023,Akash,Mouse,Electronics,1,737.34,Pune,Debit Card
1056,2025-06-10,1056,Keerthi,Pen Pack,Stationery,1,78.16,Mumbai,Debit Card
1057,2025-01-23,1091,Kavya,Laptop,Electronics,5,59681.33,Mumbai,Debit Card
1058,2025-08-09,1009,Sanjay,Backpack,Accessories,3,1858.82,Bengaluru,Debit Card
1059,2025-09-17,1040,Kavya,Office Chair,Furniture,4,6756.37,Hyderabad,Credit Card
1060,2025-08-04,1086,Harish,Water Bottle,Accessories,2,460.4,Delhi,Cash
1061,2025-10-08,1001,Ananya,Mouse,Electronics,2,788.78,Coimbatore,Cash
1062,2025-08-15,1057,Arjun,Pen Pack,Stationery,4,84.7,Hyderabad,UPI
1063,2025-05-26,1066,Keerthi,Office Chair,Furniture,1,6913.95,Mumbai,Debit Card
1064,2025-04-26,1026,Rahul,Laptop,Electronics,1,52193.27,Kochi,UPI
1065,2025-08-22,1054,Akash,Keyboard,Electronics,4,1198.65,Mumbai,Credit Card
1066,2025-12-02,1089,Aarav,Coffee Mug,Home,1,369.49,Mumbai,Credit Card
1067,2025-12-23,1067,Rohit,Laptop,Electronics,5,52241.18,Bengaluru,Cash
1068,2025-03-10,1060,Manoj,Pen Pack,Stationery,5,77.08,Kochi,Cash
1069,2025-10-08,1058,Sneha,Shoes,Fashion,4,3168.04,Mumbai,Debit Card
1070,2025-09-24,1063,Priya,Mouse,Electronics,4,732.4,Delhi,Credit Card
1071,2025-05-20,1043,Sanjay,Coffee Mug,Home,5,320.64,Hyderabad,Credit Card
1072,2025-07-16,1089,Rahul,Shoes,Fashion,2,2921.11,Pune,Debit Card
1073,2025-10-05,1060,Kavya,Laptop,Electronics,2,58661.8,Pune,UPI
1074,2025-10-22,1049,Aisha,Laptop,Electronics,3,52784.74,Pune,Cash
1075,2025-10-03,1096,Divya,T-Shirt,Fashion,5,971.61,Kochi,Credit Card
1076,2025-05-20,1056,Aisha,Laptop,Electronics,4,53197.42,Pune,Credit Card
1077,2025-08-28,1017,Keerthi,Pen Pack,Stationery,1,86.51,Chennai,UPI
1078,2025-11-26,1055,Rahul,Jeans,Fashion,4,1685.42,Delhi,Cash
